cod	ori_des	descri
70xx1x	Nihil	Das Entradas Externas
70xx11	Nihil	Entrada Externa no Módulo 1 ou 3, por aquisição ou transferência de material, mercadoria.
701111	Ext->1A	Entrada de Insumo por aquisição ou transferência
701211	Ext->1B	Valor cobrado pelo industrializador referente ao material empregado no processo industrial.
701311	Ext->1C	Entrada de Energia Elétrica
701411	Ext->1D	Aquisição de Serviços de Comunicação - Exportação
703211	Ext->3B	Entrada de Mercadoria para Revenda por aquisição ou transferência
70xx12	Nihil	Entrada Externa no Módulo 1 ou 3, por aquisição de serviço de transporte.
701112	Ext->1A	Aquisição de serviço de transporte -Ficha 1A
701212	Ext->1B	Aquisição de serviço de transporte -Ficha 1B
701512	#Cadastrar_Conversor#	Aquisição de serviço de transporte para execução de serviço da mesma natureza
702212	Ext->2B	Aquisição de serviço de transporte - Ficha 2B
702312	Ext->2C	Aquisição de serviço de transporte - Ficha 2C
702712	Ext->2G	Aquisição de serviço de transporte - Ficha 2G
703212	Ext->3B	Aquisição de serviço de transporte - Ficha 3B
70xx13	Nihil	Valor do serviço prestado cobrado pelo industrializador
701213	#Cadastrar_Conversor#	Valor cobrado pelo industrializador referente ao serviço empregado no processo industrial.
70xx16	Nihil	Complemento de Valor/Quantidade e/ou lançamento complementar de ICMS
701116	ExtCompl->1A	Lançamento complementar - Quantidade/Valor/ICMS Ficha 1A
701216	ExtCompl->1B	Lançamento complementar - Quantidade/Valor/ICMS Ficha 1B
701316	ExtCompl->1C	Lançamento complementar - Quantidade/Valor/ICMS Ficha 1C
701416	ExtCompl->1D	Lançamento complementar - Quantidade/Valor/ICMS Ficha 1D
701516	ExtCompl->1E	Lançamento complementar - Quantidade/Valor/ICMS Ficha 1E
702116	ExtCompl->2A	Lançamento complementar - Quantidade/Valor/ICMS Ficha 2A
702216	ExtCompl->2B	Lançamento complementar - Quantidade/Valor/ICMS Ficha 2B
702316	ExtCompl->2C	Lançamento complementar - Quantidade/Valor/ICMS Ficha 2C
702416	ExtCompl->2D	Lançamento complementar - Quantidade/Valor/ICMS Ficha 2D
702516	ExtCompl->2E	Lançamento complementar - Quantidade/Valor/ICMS Ficha 2E
702616	ExtCompl->2F	Lançamento complementar - Quantidade/Valor/ICMS Ficha 2F
702716	ExtCompl->2G	Lançamento complementar - Quantidade/Valor/ICMS Ficha 2G
703116	ExtCompl->3A	Lançamento complementar - Quantidade/Valor/ICMS Ficha 3A
703216	ExtCompl->3B	Lançamento complementar - Quantidade/Valor/ICMS Ficha 3B
xx7017	Nihil	Estorno de Valor/Quantidade e/ou Estorno de ICMS a maior
117017	Estorno-1A	Estorno de Valor/Quantidade/ICMS a maior - Ficha 1A
127017	Estorno-1B	Estorno de Valor/Quantidade/ICMS a maior - Ficha 1B
137017	Estorno-1C	Estorno de Valor/Quantidade/ICMS a maior - Ficha 1C
147017	Estorno-1D	Estorno de Valor/Quantidade/ICMS a maior - Ficha 1D
157017	Estorno-1E	Estorno de Valor/Quantidade/ICMS a maior - Ficha 1E
217017	Estorno-2A	Estorno de Valor/Quantidade/ICMS a maior - Ficha 2A
227017	Estorno-2B	Estorno de Valor/Quantidade/ICMS a maior - Ficha 2B
237017	Estorno-2C	Estorno de Valor/Quantidade/ICMS a maior - Ficha 2C
247017	Estorno-2D	Estorno de Valor/Quantidade/ICMS a maior - Ficha 2D
257017	Estorno-2E	Estorno de Valor/Quantidade/ICMS a maior - Ficha 2E
267017	Estorno-2F	Estorno de Valor/Quantidade/ICMS a maior - Ficha 2F
277017	Estorno-2G	Estorno de Valor/Quantidade/ICMS a maior - Ficha 2G
317017	Estorno-3A	Estorno de Valor/Quantidade/ICMS a maior - Ficha 3A
327017	Estorno-3B	Estorno de Valor/Quantidade/ICMS a maior - Ficha 3B
xx7018	Nihil	Anulação de Entrada por Devolução do Material, Mercadoria, Valor Agregado ou Serviço de Transporte registrado no Módulo 1 ou 3.
