CFOP_NFe	CFOP_Livro	Desc_CFOP_NFe	Desc_CFOP_Livro
1201	5201	Devolução de venda de produção do estabelecimento	Devolução de compra para industrialização ou produção rural (alteração vigente a partir de 01.01.2006)
1202	5202	Devolução de venda de mercadoria adquirida ou recebida de terceiros	Devolução de compra para comercialização
1208	5208	Devolução de produção do estabelecimento, remetida em transferência	Devolução de mercadoria recebida em transferência para industrialização ou produção rural (alteração vigente a partir de 01.01.2006)
1209	5209	Devolução de mercadoria adquirida ou recebida de terceiros, remetida em transferência	Devolução de mercadoria recebida em transferência para comercialização
1410	5410	Devolução de venda de produção do estabelecimento em operação com produto sujeito ao regime de substituição tributária	Devolução de compra para industrialização ou produção rural em operação com mercadoria sujeita ao regime de substituição tributária (alteração vigente a partir de 01.01.2006)
1411	5411	Devolução de venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária	Devolução de compra para comercialização em operação com mercadoria sujeita ao regime de substituição tributária
1503	5503	Entrada decorrente de devolução de produto remetido com fim específico de exportação, de produção do estabelecimento	Devolução de mercadoria recebida com fim específico de exportação
1551	5551	Compra de bem para o ativo imobilizado	Venda de bem do ativo imobilizado
1552	5552	Transferência de bem do ativo imobilizado	Transferência de bem do ativo imobilizado
1553	5553	Devolução de venda de bem do ativo imobilizado	Devolução de compra de bem para o ativo imobilizado
1554	5554	Retorno de bem do ativo imobilizado remetido para uso fora do estabelecimento	Remessa de bem do ativo imobilizado para uso fora do estabelecimento
1555	5555	Entrada de bem do ativo imobilizado de terceiro, remetido para uso no estabelecimento	Devolução de bem do ativo imobilizado de terceiro, recebido para uso no estabelecimento
1556	5556	Compra de material para uso ou consumo	Devolução de compra de material de uso ou consumo
1660	5660	Devolução de venda de combustível ou lubrificante para industrialização subseqüente	Devolução de compra de combustível ou lubrificante adquirido para industrialização subseqüente
1661	5661	Devolução de venda de combustível ou lubrificante destinado à comercialização	Devolução de compra de combustível ou lubrificante adquirido para comercialização
