cfop	dfi	st	classe	g1	c3	g2	g3	dessimp	descri	pod_creditar
5101	D	N	S101	1-Receitas	01p - Produção	01n - Produção Não ST	01a	Venda Produção	Venda de produção do estabelecimento	N
6101	F	N	S101	1-Receitas	01p - Produção	01n - Produção Não ST	01a	Venda Produção	Venda de produção do estabelecimento	N
7101	I	N	S101	1-Receitas	01p - Produção	01n - Produção Não ST	01a	Venda Produção	Venda de produção do estabelecimento	N
1128	D	N	E128	6-Outros	06o - Outros	99 - Outros	07a	Compra p/Utilz Serv ISSQN	Compra para utilização na prestação de serviço sujeita ao ISSQN	N
2128	F	N	E128	6-Outros	06o - Outros	99 - Outros	07a	Compra p/Utilz Serv ISSQN	Compra para utilização na prestação de serviço sujeita ao ISSQN	N
3128	I	N	E128	6-Outros	06o - Outros	99 - Outros	07a	Compra p/Utilz Serv ISSQN	Compra para utilização na prestação de serviço sujeita ao ISSQN	N
1201	D	N	E201	1-Receitas	01pd - Dev.Produção	01n - Produção Não ST	01d	Devolução de Venda Produção	Devolução de venda de produção do estabelecimento	S
2201	F	N	E201	1-Receitas	01pd - Dev.Produção	01n - Produção Não ST	01d	Devolução de Venda Produção	Devolução de venda de produção do estabelecimento	S
3201	I	N	E201	1-Receitas	01pd - Dev.Produção	01n - Produção Não ST	01d	Devolução de Venda Produção	Devolução de venda de produção do estabelecimento	S
5401	D	S	S401	1-Receitas	01p - Produção	01s - Produção ST	01a	Venda Produção ST, condição de Contrib. Substituto	Venda de produção do estabelecimento em operação com produto sujeito ao regime de substituição tributária, na condição de contribuinte substituto	N
6401	F	S	S401	1-Receitas	01p - Produção	01s - Produção ST	01a	Venda Produção ST, condição de Contrib. Substituto	Venda de produção do estabelecimento em operação com produto sujeito ao regime de substituição tributária, na condição de contribuinte substituto	N
7401	I	S	S401	1-Receitas	01p - Produção	01s - Produção ST	01a	Venda Produção ST, condição de Contrib. Substituto	Venda de produção do estabelecimento em operação com produto sujeito ao regime de substituição tributária, na condição de contribuinte substituto	N
5402	D	S	S402	1-Receitas	01p - Produção	01s - Produção ST	01b	Venda Produção ST, oper. Entre Contrib. Substitutos do Mesmo Produto	Venda de produção do estabelecimento de produto sujeito ao regime de substituição tributária, em operação entre contribuintes substitutos do mesmo produto	N
6402	F	S	S402	1-Receitas	01p - Produção	01s - Produção ST	01b	Venda Produção ST, oper. Entre Contrib. Substitutos do Mesmo Produto	Venda de produção do estabelecimento de produto sujeito ao regime de substituição tributária, em operação entre contribuintes substitutos do mesmo produto	N
7402	I	S	S402	1-Receitas	01p - Produção	01s - Produção ST	01b	Venda Produção ST, oper. Entre Contrib. Substitutos do Mesmo Produto	Venda de produção do estabelecimento de produto sujeito ao regime de substituição tributária, em operação entre contribuintes substitutos do mesmo produto	N
