CFOP	valcon_s	valcon_e	bcicms_e	icms_pmc
1101		+		+
1102		+		+
1116		+		+
1117		+		+
1118		+		+
1120		+		+
1121		+		+
1122		+		+
1124		+		+
1125		+		+
1126		+		+
1151		+		+
1152		+		+
1153		+		+
1154		+		+
1201	-			
1202	-			
1203	-			
1204	-			
1205	-			
1206	-			
1207	-			
1208	-			
1209	-			
1251			+	+
1252			+	+
1253			+	+
1254			+	+
1255			+	+
1256			+	+
1257			+	+
1301			+	+
1302			+	+
1303			+	+
1304			+	+
1305			+	+
1306			+	+
1351		+		+
1352		+		+
1353		+		+
1354		+		+
1355		+		+
1356		+		+
1360		+		+
1401		+		+
1403		+		+
1408		+		+
1409		+		+
1410	-			
1411	-			
1503	-			
1504	-			
1651		+		+
1652		+		+
1653			+	+
1658		+		+
1659		+		+
1660	-			
1661	-			
1662	-			
1910		+		+
1917		+		+
1918	-			
1931		+		+
1932		+		+
2101		+		+
2102		+		+
2116		+		+
2117		+		+
2118		+		+
2120		+		+
2121		+		+
2122		+		+
2124		+		+
2125		+		+
2126		+		+
2151		+		+
2152		+		+
2153		+		+
2154		+		+
2201	-			
2202	-			
2203	-			
2204	-			
2205	-			
2206	-			
2207	-			
2208	-			
2209	-			
2251			+	+
2252			+	+
2253			+	+
2254			+	+
2255			+	+
2256			+	+
2257			+	+
2301			+	+
2302			+	+
2303			+	+
2304			+	+
2305			+	+
2306			+	+
2351		+		+
2352		+		+
2353		+		+
2354		+		+
2355		+		+
2356		+		+
2401		+		+
2403		+		+
2408		+		+
2409		+		+
2410	-			
2411	-			
2503	-			
2504	-			
2651		+		+
2652		+		+
2653			+	+
2658		+		+
2659		+		+
2660	-			
2661	-			
2662	-			
2910		+		+
2917		+		+
2918	-			
2931		+		+
2932		+		+
3101		+		+
3102		+		+
3126		+		+
3127		+		+
3201	-			
3202	-			
3205	-			
3206	-			
3207	-			
3211	-			
3251			+	+
3301			+	+
3351		+		+
3352		+		+
3353		+		+
3354		+		+
3355		+		+
3356		+		+
3651		+		+
3652		+		+
3653			+	+
3930		+		+
5101	+			
5102	+			
5103	+			
5104	+			
5105	+			
5106	+			
5109	+			
5110	+			
5115	+			
5116	+			
5117	+			
5118	+			
5119	+			
5120	+			
5122	+			
5123	+			
5124	+			
5125	+			
5151	+			
5152	+			
5153	+			
5155	+			
5156	+			
5201		-		-
5202		-		-
5205		-		-
5206		-		-
5207		-		-
5208		-		-
5209		-		-
5210		-		-
5251	+			
5252	+			
5253	+			
5254	+			
5255	+			
5256	+			
5257	+			
5258	+			
5301	+			
5302	+			
5303	+			
5304	+			
5305	+			
5306	+			
5307	+			
5351	+			
5352	+			
5353	+			
5354	+			
5355	+			
5356	+			
5357	+			
5359	+			
5360	+			
5401	+			
5402	+			
5403	+			
5405	+			
5408	+			
5409	+			
5410		-		-
5411		-		-
5501	+			
5502	+			
5651	+			
5652	+			
5653	+			
5654	+			
5655	+			
5656	+			
5658	+			
5659	+			
5660		-		-
5661		-		-
5662			-	-
5910	+			
5917	+			
5918		-		-
5928	+			
6101	+			
6102	+			
6103	+			
6104	+			
6105	+			
6106	+			
6107	+			
6108	+			
6109	+			
6110	+			
6115	+			
6116	+			
6117	+			
6118	+			
6119	+			
6120	+			
6122	+			
6123	+			
6124	+			
6125	+			
6151	+			
6152	+			
6153	+			
6155	+			
6156	+			
6201		-		-
6202		-		-
6205		-		-
6206		-		-
6207		-		-
6208		-		-
6209		-		-
6210		-		-
6251	+			
6252	+			
6253	+			
6254	+			
6255	+			
6256	+			
6257	+			
6258	+			
6301	+			
6302	+			
6303	+			
6304	+			
6305	+			
6306	+			
6307	+			
6351	+			
6352	+			
6353	+			
6354	+			
6355	+			
6356	+			
6357	+			
6359	+			
6401	+			
6402	+			
6403	+			
6404	+			
6408	+			
6409	+			
6410		-		-
6411		-		-
6501	+			
6502	+			
6651	+			
6652	+			
6653	+			
6654	+			
6655	+			
6656	+			
6658	+			
6659	+			
6660		-		-
6661		-		-
6662			-	-
6910	+			
6917	+			
6918		-		-
7101	+			
7102	+			
7105	+			
7106	+			
7127	+			
7201		-		-
7202		-		-
7205		-		-
7206		-		-
7207		-		-
7210		-		-
7211		-		-
7251	+			
7301	+			
7358	+			
7651	+			
7654	+			
7930		-		-
