db	Reg	Nro	campo	descri	tipo	tam	dec
lasimca	0000	1	reg	Texto fixo contendo "0000"	C	4	-
lasimca	0000	2	lasimca	Texto fixo contendo "LASIMCA”	C	7	-
lasimca	0000	3	cod_ver	Código da versão do leiaute conforme a Tabela 3.1	N	2	-
lasimca	0000	4	cod_fin	Código da finalidade do arquivo conforme a Tabela 3.2	N	2	-
lasimca	0000	5	periodo	Período das informações contidas no arquivo	N	6	-
lasimca	0000	6	nome	Nome empresarial do estabelecimento informante	C	-	-
lasimca	0000	7	cnpj	Número de inscrição no CNPJ do estabelecimento informante	N	14	-
lasimca	0000	8	ie	Inscrição Estadual do estabelecimento informante	C	-	-
lasimca	0000	9	cnae	CNAE do contribuinte informante	N	7	-
lasimca	0000	10	cod_mun	Código do município do domicílio fiscal do estabelecimento informante, conforme a Tabela de Municípios (IBGE: www.ibge.gov.br).	N	7	-
lasimca	0000	11	ie_intima	Inscrição Estadual do Estabelecimento paulista gerador de crédito acumulado notificado, por intimação específica, a entregar arqui- vo	C	12	-
lasimca	0001	1	reg	Texto fixo contendo "0001"	C	4	-
lasimca	0001	2	ind_mov	"Indicador de movimento: 0-   Bloco com dados informados 1-   Bloco sem dados informados"	N	1	-
lasimca	0150	1	reg	Texto fixo contendo "0150"	C	4	-
lasimca	0150	2	cod_part	Código numérico de identificação do participante no arquivo	N	-	-
lasimca	0150	3	nome	Razão social ou nome do participante	C	-	-
lasimca	0150	4	cod_pais	Código do país do participante, conforme a tabela indicada na Tabela de Países do Banco Central do Brasil: www.bcb.gov.br	N	5	-
lasimca	0150	5	cnpj	CNPJ ou CPF do participante	N	14	-
lasimca	0150	6	ie	Inscrição Estadual do participante	C	-	-
lasimca	0150	7	uf	Sigla da unidade da federação do participante	C	2	-
lasimca	0150	8	cep	Código de Endereçamento Postal	N	8	-
lasimca	0150	9	end	Logradouro e endereço do imóvel	C	-	-
lasimca	0150	10	num	Número do imóvel	C	-	-
lasimca	0150	11	compl	Dados complementares do endereço	C	-	-
lasimca	0150	12	bairro	Bairro em que o imóvel está situado	C	-	-
lasimca	0150	13	cod_mun	Código do município, conforme Tabela de Municípios (IBGE: www.ibge.gov.br)	N	7	-
lasimca	0150	14	fone	Número do telefone	C	-	-
lasimca	0300	1	reg	Texto fixo contendo "0300"	C	4	-
lasimca	0300	2	cod_legal	Código do Enquadramento Legal	N	4	-
lasimca	0300	3	desc	"Informar um dos seguintes códigos, relativo à hipótese de geração, conforme o inciso do artigo 71 do RICMS/00 : 1 – “Inciso I - Operações interestaduais com alíquota 7%” 2 – “Inciso I - Operações interestaduais com alíquota 12%” 3 – “Inciso I - Operações internas com alíquota 7%” 4 – “Inciso I - Operações internas” 5 – “Inciso I - Outras” 6 – “Inciso II - Redução de Base de Cálculo” 7 – “Inciso III - Saídas sem pagamento de Imposto – Exportação"" 8 – “Inciso III - Saídas sem pagamento de Imposto – Exportação Indireta” 9 – “Inciso III - Saídas sem pagamento de Imposto – ZF Manaus” 10 – “Inciso III - Saídas sem pagamento de Imposto – Diferimento” 11 – “Inciso III - Saídas sem pagamento de Imposto – Isenção” 12 – “Inciso III - Saídas sem pagamento de Imposto – ST” 13 – “Inciso III - Saídas sem pagamento de Imposto – Outras"""	N	2	-
lasimca	0300	4	anex	Informar o Anexo do RICMS referente ao enquadramento legal da operação ou prestação geradora do crédito acumulado do ICMS, se existir.	C	-	-
lasimca	0300	5	art	Informar o Artigo do RICMS referente ao enquadramento legal da operação ou prestação geradora do crédito acumulado do ICMS.	C	-	-
